-5.3169951990019655e+34  +  j * -2.7702047173726858e+193 
-0.0000000000000000e+00  +  j * -0.0000000000000000e+00 
2.5684257331779168e+207  +  j * 4.5494426260158963e+207 
-inf  +  j * -inf 
-3.6147378671465184e+221  +  j * -3.8346924902319947e+221 
3.5786043886922420e+28  +  j * 1.9807040628566084e+28 
-5.3499676481481854e+165  +  j * 5.2431953355631901e+73 
9.7554642197374757e+142  +  j * 1.3653462960479602e+143 
1.3356958205713305e+59  +  j * 1.6491180032358513e-36 
-1.2979922226591607e+233  +  j * -9.9361157907245372e+232 
2.0087924099896163e-92  +  j * 7.4322009389444091e+58 
3.2470753948556198e+166  +  j * -4.6966243750195585e+261 
-inf  +  j * -6.2309147684674181e+183 
-2.0920935787645329e+170  +  j * -1.2537686057273939e+92 
4.5945588056516916e+184  +  j * 3.3992831540273094e+184 
-7.3093795610372643e+151  +  j * -5.2374249726338270e+151 
1.6237527934728996e+37  +  j * 9.3141347739680374e-33 
3.3474852045081124e+38  +  j * 1.7014118346046923e+38 
-1.9390245283118696e-154  +  j * -2.9180508071983981e-147 
-6.7154764408715218e-71  +  j * 8.3792483667029933e-31 
-5.9581700642176959e+46  +  j * 2.5649980818759099e+105 
0.0000000000000000e+00  +  j * -0.0000000000000000e+00 
-6.9959343690073604e+239  +  j * -4.1675090205499089e+239 
inf  +  j * inf 
inf  +  j * inf 
-4.3153897444356208e-09  +  j * -1.5767008790629766e+215 
-7.7524973833507577e+196  +  j * -4.7588976933671726e+258 
-8.9670924192436750e-88  +  j * -1.2073792614531196e+148 
-inf  +  j * -inf 
inf  +  j * inf 
-6.3436669871717134e+104  +  j * -5.1622164017740863e-19 
5.5019017592407927e-129  +  j * -1.1932561953443119e-252 
inf  +  j * inf 
7.4560704710577133e-238  +  j * -2.5840240155702786e-280 
inf  +  j * 1.8340230092391253e+294 
inf  +  j * inf 
-2.2190247455430302e+276  +  j * -inf 
-0.0000000000000000e+00  +  j * 0.0000000000000000e+00 
-7.6328013696302245e+60  +  j * -6.4277521770359611e+60 
-inf  +  j * inf 
-7.7443346410676776e+92  +  j * -5.2148120994162844e+92 
inf  +  j * inf 
2.2331428883837809e+187  +  j * 1.7404329748619824e+187 
7.5871605766261608e+261  +  j * -9.9548775158305355e+304 
-8.4376591439398247e+108  +  j * inf 
-inf  +  j * -inf 
1.9779233009450857e+103  +  j * 2.0498914204218723e-45 
-2.1452492687908155e+155  +  j * -3.5056715156711462e+155 
-6.1172648181430777e+74  +  j * -4.5231284858326639e+74 
-2.5191046292098296e+263  +  j * -4.4271569066021036e+263 
2.1190949350660688e+156  +  j * 1.7161994150326524e+156 
2.2267503385630791e-298  +  j * -2.1921868963412479e-255 
-1.6209045190941379e+178  +  j * -1.7598520131048497e+178 
2.6982142110015547e+160  +  j * -1.9759357412324557e+216 
-inf  +  j * -inf 
-inf  +  j * -inf 
-inf  +  j * -inf 
7.8414429336193714e-01  +  j * 1.1227824711493444e+283 
-3.4545326844582271e+263  +  j * 3.0162175364119408e+277 
1.0292383208867170e+170  +  j * inf 
9.2612214944700716e-119  +  j * -8.7794504374821344e+80 
inf  +  j * 7.8747049678225833e-27 
-2.3945242826029513e+52  +  j * -2.6226311029318187e+52 
inf  +  j * inf 
-1.8098574178674658e+261  +  j * -9.8402524578508967e+260 
inf  +  j * inf 
0.0000000000000000e+00  +  j * -0.0000000000000000e+00 
5.7337465399751788e+104  +  j * 9.8293169199600445e+104 
3.2666343170117645e-20  +  j * 1.3932335806835489e-76 
-inf  +  j * -inf 
3.1956971170451133e+149  +  j * inf 
-7.1746481373430634e-43  +  j * -1.2656770760289780e-42 
-1.2153549204246353e-103  +  j * -5.5648338602001521e+163 
-inf  +  j * -inf 
inf  +  j * inf 
1.7437374225771277e+130  +  j * 1.1090678776483259e+130 
inf  +  j * inf 
1.7606689990609406e+27  +  j * -1.1252097431403995e+24 
-3.7175422711944577e+283  +  j * -4.6930794515636953e+283 
-2.7048679994146061e+272  +  j * -4.4579818882994706e+287 
7.3601007518753493e+266  +  j * -1.8505024181579674e-91 
-1.5393641478392738e+281  +  j * 4.4718944332445930e-67 
6.8909135823682928e+212  +  j * 5.6265727796041580e-87 
9.0556790788267124e-72  +  j * 1.1100420920993518e-71 
6.8389126399729026e-109  +  j * -1.5187015377734404e+29 
6.2356998502757703e+83  +  j * 4.8566722305643227e+83 
inf  +  j * 7.0791778722736958e+214 
inf  +  j * -inf 
-5.0653266221691809e+176  +  j * -5.7752753873495647e+176 
inf  +  j * -4.4978050367296669e+198 
-inf  +  j * -inf 
-2.9517686368714440e+03  +  j * -2.0480000000000000e+03 
9.3438783848902558e+195  +  j * 1.3450109017820645e+196 
2.5799857421696307e+180  +  j * 2.0747577844404965e+180 
-5.8086597987413401e+281  +  j * -6.6981522451902883e+281 
6.4645916562373272e+122  +  j * 3.3052798439512430e+122 
2.7340327049045933e+36  +  j * -1.8718670017470621e+216 
1.3849074546990845e+90  +  j * 1.0185179881672430e+90 
-inf  +  j * -inf 
1.7240150264320887e+252  +  j * 9.1644492539119876e+251 
-1.4746812437372531e+101  +  j * -3.0596722864513267e+17 
-9.8963904032523866e-111  +  j * -inf 
-inf  +  j * 5.8266792921982687e+301 
8.0267599200688899e-21  +  j * 1.5196790967430533e-34 
-4.4386684837833221e+305  +  j * -inf 
1.6759759912428246e+153  +  j * 2.0807578575617059e+153 
4.0253931670042660e+58  +  j * 2.5108406941546723e+58 
6.8299102344650990e-30  +  j * 6.3108872417680944e-30 
-1.8527812686540444e-248  +  j * -5.8379754601503399e-228 
3.4314463921411366e+119  +  j * 8.3706137968087936e+115 
-2.8631414414226991e-14  +  j * 1.3056377369829069e-161 
1.7918899704042092e-200  +  j * 3.4308527864733881e-187 
-7.6139932679694865e-96  +  j * -1.4402830347561914e-223 
-7.5609033794388984e+165  +  j * 2.3273953994493261e+66 
3.1220122062483408e+60  +  j * 1.6069380442589903e+60 
-1.0763085612808944e+121  +  j * 1.4919390746925530e+18 
6.7399866667876599e+66  +  j * 1.3476384991453186e+67 
inf  +  j * inf 
6.4972240217479015e+44  +  j * 3.5681192317648997e+44 
-inf  +  j * 9.5666104639496347e+126 
-2.0571807270530916e+56  +  j * -1.5873432683026672e+40 
-3.6808203464000477e-291  +  j * -0.0000000000000000e+00 
-2.2690495613661733e+259  +  j * -1.7777507060388688e+254 
8.8239718262223987e+192  +  j * 2.5732151282677424e+276 
-inf  +  j * -inf 
-inf  +  j * 3.1408771592466513e+146 
3.6198897157124996e+281  +  j * -8.9445091726240186e+20 
1.2276341251947660e+161  +  j * -1.6789673640273460e+153 
-inf  +  j * -inf 
inf  +  j * inf 
2.2062609052407949e+217  +  j * 3.2469929964433016e+217 
-inf  +  j * -inf 
1.6604245895966757e+46  +  j * 1.1417981541647679e+46 
inf  +  j * inf 
-1.5474250491067253e+26  +  j * -2.4566122280271826e+26 
-inf  +  j * -1.9131319934109408e+287 
-inf  +  j * -inf 
-2.0618107820275356e+110  +  j * -5.7992848746563508e+13 
2.4208385465084547e+221  +  j * inf 
-1.5584156747625938e+249  +  j * -8.9496574745234254e+248 
-inf  +  j * inf 
-2.9427022272402507e-02  +  j * 8.8065470960301053e+155 
1.3405732729953076e-158  +  j * -3.2427168693859784e+18 
1.8306845872749401e-245  +  j * 3.3565405074838200e-245 
1.0633758925371941e+308  +  j * -inf 
-inf  +  j * 8.8155777636848330e+194 
2.8513309314169841e+182  +  j * 2.6556899640838355e+182 
-3.1966169359761252e+231  +  j * -1.1951923687863815e+245 
3.9768306236951795e-03  +  j * 3.9062500000000000e-03 
-2.1541848061472419e+88  +  j * -1.5319023431865435e+78 
2.3870078260205904e+118  +  j * 6.9423153393049461e+193 
-2.1084395886461046e-81  +  j * -3.5813145876430548e-81 
2.5564169109385957e-13  +  j * -1.0206856873629402e+102 
5.0017995164310691e+191  +  j * -9.6653047542233865e+288 
1.4776233020800229e+227  +  j * -inf 
-7.9825639620667309e-156  +  j * -4.6614629570001292e-156 
1.6044333059749239e+155  +  j * 7.9702609769283934e+234 
1.3092257602839912e+28  +  j * -1.5746175123260948e+168 
3.1356491615458791e+176  +  j * 4.1034794616913064e-39 
-1.9988827246274392e-53  +  j * -1.0410914862737950e-04 
-2.3106488011069819e-274  +  j * -4.5011751535731160e-274 
-4.1966377597175406e+297  +  j * 3.8746031376367500e+04 
inf  +  j * -3.2887474515601575e+232 
-inf  +  j * -inf 
7.4950406649944136e-31  +  j * -inf 
-5.2747345537933945e+190  +  j * -3.0273217731502450e+95 
-inf  +  j * -inf 
inf  +  j * -inf 
inf  +  j * inf 
-1.6527717734592083e+10  +  j * 5.9533125788407738e+72 
-1.6235178873076950e+03  +  j * -1.0240000000000000e+03 
-4.3620829362485001e+254  +  j * -2.3460990090014688e+254 
inf  +  j * inf 
-inf  +  j * -inf 
-7.0500195487912788e-135  +  j * -4.3589564745816603e-115 
-inf  +  j * -inf 
-2.6355494858076308e-82  +  j * -5.1857702906317017e-82 
3.4873715063711893e-118  +  j * -9.1309875189051045e-180 
4.3717528271947053e-37  +  j * 4.9871600434407494e+282 
-inf  +  j * -inf 
inf  +  j * -4.0112595202277497e-72 
-8.6513540808199714e-61  +  j * -6.2230152778611417e-61 
5.8183080247446896e+127  +  j * inf 
5.6295140325932255e+202  +  j * 3.9191066485258739e+202 
inf  +  j * inf 
